Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
HEC7,0.1u,C_0402_1005Metric,160.475,-75.4875,-90.0,top
HEC8,0.1u,C_0402_1005Metric,179.525,-75.4875,-90.0,top
HEC9,0.1u,C_0402_1005Metric,198.575,-75.4875,-90.0,top
HECC1,0.1u,C_0402_1005Metric,40.274999,-75.4875,-90.0,top
HECC10,0.1u,C_0402_1005Metric,211.725,-75.4875,-90.0,top
HECC11,0.1u,C_0402_1005Metric,230.775,-75.4875,-90.0,top
HECC12,0.1u,C_0402_1005Metric,249.825,-75.4875,-90.0,top
HECC13,0.1u,C_0402_1005Metric,47.41875,-94.5375,-90.0,top
HECC14,0.1u,C_0402_1005Metric,73.6125,-94.5375,-90.0,top
HECC15,0.1u,C_0402_1005Metric,92.6625,-94.5375,-90.0,top
HECC16,0.1u,C_0402_1005Metric,111.7125,-94.5375,-90.0,top
HECC17,0.1u,C_0402_1005Metric,130.7625,-94.5375,-90.0,top
HECC18,0.1u,C_0402_1005Metric,149.8125,-94.5375,-90.0,top
HECC19,0.1u,C_0402_1005Metric,168.8625,-94.5375,-90.0,top
HECC2,0.1u,C_0402_1005Metric,59.325,-75.4875,-90.0,top
HECC20,0.1u,C_0402_1005Metric,187.9125,-94.5375,-90.0,top
HECC21,0.1u,C_0402_1005Metric,206.9625,-94.5375,-90.0,top
HECC22,0.1u,C_0402_1005Metric,226.0125,-94.5375,-90.0,top
HECC23,0.1u,C_0402_1005Metric,247.44375,-94.5375,-90.0,top
HECC24,0.1u,C_0402_1005Metric,40.274999,-113.5875,-90.0,top
HECC25,0.1u,C_0402_1005Metric,59.325,-113.5875,-90.0,top
HECC26,0.1u,C_0402_1005Metric,80.75625,-113.5875,-90.0,top
HECC27,0.1u,C_0402_1005Metric,102.1875,-113.5875,-90.0,top
HECC28,0.1u,C_0402_1005Metric,121.2375,-113.5875,-90.0,top
HECC29,0.1u,C_0402_1005Metric,140.2875,-113.5875,-90.0,top
HECC3,0.1u,C_0402_1005Metric,78.375,-75.4875,-90.0,top
HECC30,0.1u,C_0402_1005Metric,159.3375,-113.5875,-90.0,top
HECC31,0.1u,C_0402_1005Metric,178.3875,-113.5875,-90.0,top
HECC32,0.1u,C_0402_1005Metric,197.4375,-113.5875,-90.0,top
HECC33,0.1u,C_0402_1005Metric,216.4875,-113.5875,-90.0,top
HECC34,0.1u,C_0402_1005Metric,242.68125,-113.5875,-90.0,top
HECC35,0.1u,C_0402_1005Metric,40.274999,-132.6375,-90.0,top
HECC36,0.1u,C_0402_1005Metric,59.325,-132.6375,-90.0,top
